	Sum_coverage	Total_counts	Genes_nz_counts	Genes_nz_coverage
SRS1992958	4435074	27512317	133068	86378
SRS1992960	4709066	36020094	181515	113613
SRS1992962	4702791	36291629	227835	150816
SRS1992964	6092714	42147424	214672	142768
SRS1992966	6381082	29966383	207625	108723
SRS1992968	6514269	33141055	103549	56694
SRS1992970	3268666	21421732	141573	77042
SRS1992972	3484114	24775564	141195	93104
SRS1992974	3575987	23930630	100669	49270
SRS1992976	1198580	7965698	93204	48527
SRS1992978	4656705	27662929	124326	75240
SRS1992980	5192027	36568262	144804	79536
SRS1992988	4556050	28674910	156094	106230
SRS1992990	2753605	18624333	132058	61362
SRS1992991	3756626	24417345	227029	130419
SRS1992992	3500296	23640899	138449	78125
SRS1992993	2917225	19735481	119049	62269
SRS1992994	4967645	33145788	103508	35829
SRS1992995	3544491	26101843	228441	166289
SRS1992998	3626613	27043167	179249	116219
SRS1992999	3574956	26842332	214851	139652
SRS1993000	2517046	20137829	200830	122847
SRS1993001	4728264	34244243	241949	161480
SRS1993002	3202400	22492420	200565	132528
SRS1993003	4057654	30145993	232099	146730
SRS1993004	3470835	27249542	208823	141067
SRS1993006	3801883	29167134	206527	119138
SRS1993058	1874706	13007728	144568	78200
SRS1993062	4557138	30837867	184892	133693
SRS1993066	4105307	27218782	211331	130131
SRS1993078	3923303	24959424	139317	78893
SRS1993092	5821120	35484604	124592	68002
SRS1993106	4035999	26493424	141787	90935
SRS1993108	2836251	20262083	242653	164296
SRS1993116	5090821	34716634	203103	112939
SRS1993122	5133924	34672119	135354	76649
SRS1993132	4763375	33711373	207776	132336
SRS1993134	2483989	17783427	234274	155501
SRS1993140	3577205	23906848	134807	61713
SRS1993148	3887411	26419842	151603	63572
SRS1993150	2929373	20203050	230828	146351
SRS1993166	3041225	21754614	126633	57733
SRS1993172	3084890	20805104	171150	96465
