	MAG01	MAG02	MAG03	MAG04	MAG05	MAG06	MAG07	MAG08	MAG09	MAG10	MAG11	MAG12	MAG13	MAG14	MAG15	MAG16	MAG17	MAG18	MAG19	MAG20	MAG21	MAG22	MAG23	MAG24	MAG25	MAG26	MAG27	MAG28	MAG29	MAG30	MAG31	MAG32	MAG33
ERR675519	4.94	20.064999999999998	34.74	0.0	46.82	30.685000000000002	44.56	41.87	0.44	0.0	7.23	0.0	80.63	45.38	2.59	0.82	125.295	0.0	3.25	8.26	10.32	41.78	0.16	10.91	11.24	0.0	12.79	0.24	139.16	9.88	3.14	3.83	0.84
ERR675520	30.67	0.27	0.0	56.44	0.0	0.0	0.2	0.0	79.195	73.07	2.96	10.63	1.02	12.17	31.095	17.09	48.855000000000004	216.53	3.22	6.87	0.0	16.89	11.23	8.23	0.64	29.78	0.17	8.02	101.96	23.735	4.255	33.82	0.89
ERR675521	14.3	22.31	0.0	8.63	40.05	35.425	0.0	26.23	0.87	1.12	14.475000000000001	0.0	65.72	25.585	1.37	1.75	56.09	0.0	7.01	6.16	26.18	22.06	0.17	8.12	10.18	0.0	12.56	0.32	71.33	11.03	4.58	4.37	15.57
ERR675522	28.06	0.27	32.56	0.08	0.28	0.0	0.0	0.0	44.53	151.44	1.7	19.23	6.15	84.17500000000001	7.805	11.95	149.655	0.14	0.43	0.0	1.05	16.08	0.88	4.36	0.85	0.0	1.17	0.0	95.02	0.08	6.0649999999999995	31.93	2.61
ERR675523	23.03	3.92	1.67	22.2	3.28	0.09	0.0	46.57	5.3	1.62	20.345	0.0	18.01	33.73	7.63	6.55	37.88	0.0	64.71	4.59	13.0	18.02	48.61	6.87	10.15	0.0	4.48	0.28	159.76	17.54	4.125	5.95	19.57
ERR675524	17.5	0.34	36.75	51.015	0.76	0.0	0.0	0.34	57.4	224.66	2.35	17.21	5.91	6.26	14.895	10.62	170.695	29.29	2.25	0.0	0.09	16.88	0.04	3.97	0.33	34.265	0.15	23.465	187.18	33.605000000000004	4.235	65.55	2.37
ERR675525	26.59	2.27	0.0	26.17	23.9	0.01	0.0	2.4	2.52	1.89	10.31	0.6	59.29	27.2	0.75	5.02	0.15	0.17	18.38	0.0	12.95	13.59	0.16	4.02	4.89	0.0	5.65	0.27	105.05	12.405000000000001	4.375	7.94	9.05
ERR675526	38.19	0.45	17.24	79.58	2.39	0.0	0.0	0.0	92.59	93.33	7.55	0.78	32.47	11.705	20.785	36.2	103.16499999999999	97.28	1.07	13.5	0.39	23.88	0.13	8.88	0.78	49.835	0.2	27.47	120.78	43.555	17.785	56.19	4.52
ERR675527	50.19	0.17	6.08	47.224999999999994	0.09	0.0	0.0	0.0	35.5	40.53	1.94	0.16	0.33	6.115	10.59	24.4	23.689999999999998	268.26	1.79	5.7	0.0	11.02	13.34	4.14	0.51	24.65	0.06	3.1	44.92	12.81	1.18	12.43	0.0
ERR675528	15.97	10.93	0.0	2.925	37.11	15.355	0.0	25.13	1.2	0.0	15.89	0.0	38.63	37.56	2.4	2.06	71.18	0.13	16.5	3.87	5.3	35.48	57.285	7.71	15.63	0.0	10.03	0.2	100.7	0.0	13.825	4.8	14.92
ERR675529	32.15	0.39	0.0	42.2	0.51	0.0	0.0	0.0	41.57	60.82	3.23	0.83	11.4	5.77	4.08	24.59	0.0	247.39	1.68	0.0	0.29	15.66	1.13	5.64	0.44	34.504999999999995	0.16	12.32	55.94	29.86	3.53	27.09	1.89
ERR675530	0.72	1.99	39.35	0.0	29.3	12.21	35.4	32.47	0.16	0.0	8.27	0.0	34.06	33.785	0.93	0.79	84.27	0.0	9.41	5.01	6.02	18.05	0.0	9.39	3.05	0.0	26.94	0.17	98.48	2.54	4.05	3.19	10.24
ERR675531	32.95	4.37	0.14	1.21	52.7	0.0	0.0	1.17	0.41	0.75	14.205	0.0	57.2	44.695	3.01	1.3	0.265	0.0	8.58	16.98	4.8	22.0	0.42	10.93	6.39	0.0	34.18	0.0	107.42	19.59	4.09	4.54	11.88
ERR675532	32.8	6.12	0.0	0.09	25.71	0.0	0.0	0.0	0.6	0.0	12.91	0.0	77.44	66.43	0.52	0.78	0.0	0.43	12.43	1.56	24.895	18.31	0.17	11.22	13.06	0.0	30.44	0.17	1.29	8.25	9.15	3.92	13.09
